REF;NAME;PVP03;PVP04;PVP02
0004145;CARRO PORTABALONES DE ALUMINIO;49.95;54.95;59.94
0004148;CESTA PORTABALONES;34.95;38.45;41.94
0004149;CARRO MULTIUSOS;29.95;32.95;35.94
0004504;CINTA DE SUJECIÓN RÓTULA;1.7;1.87;2.04
0004505;CINTA DE SUJECIÓN CODO;1.5;1.65;1.8
0004549;FAJA LUMBAR NEOPRENO SIN PROTECCIONES SOFTEE;2.99;3.29;3.59
0004552;MUÑEQUERA NEOPRENO SOFTEE;1.24;1.36;1.49
0004553;CODERA NEOPRENO SOFTEE;2.26;2.49;2.71
0004554;RODILLERA NEOPRENO SOFTEE;3.67;4.04;4.4
0004556;TOBILLERA NEOPRENO SOFTEE;1.95;2.15;2.34
0004600;ROTULADOR/BORRADOR PARA CARPETA NEUTRA;0.35;0.39;0.42
0004601;CARPETA TÁCTICA PROFESIONAL FÚTBOL;6.95;7.65;8.34
0004603;CARPETA TÁCTICA PROFESIONAL VOLEIBOL;6.95;7.65;8.34
0004604;CARPETA TÁCTICA PROFESIONAL FÚTBOL SALA / BALONMANO;6.95;7.65;8.34
0004605;CARPETA TÁCTICA PROFESIONAL A4 FÚTBOL;5.45;6;6.54
0004606;CARPETA TÁCTICA PROFESIONAL A4 BALONCESTO;5.45;6;6.54
0004607;CARPETA REVERSIBLE SOFTEE PLUS BALONCESTO;44.5;48.95;53.4
0004608;CARPETA REVERSIBLE SOFTEE PLUS FUTBOL;4.45;4.9;5.34
0004609;CARPETA REVERSIBLE SOFTEE PLUS FUTBOL SALA/BALONMANO;4.45;4.9;5.34
0004610;PIZARRA NEUTRA SOFTEE PLUS;2.95;3.25;3.54
0004611;ESTUCHE TACTICO FUTBOL SOFTEE PREMIER;7.45;8.2;8.94
0004612;CARPETA TACTICA FUTBOL SOFTEE MATCH;9.45;10.4;11.34
0004652;CARPETA TÁCTICA VELEDA BALONCESTO;2.98;3.28;3.58
0004653;CARPETA TÁCTICA VELEDA FÚTBOL-SALA/BALONMANO ;2.98;3.28;3.58
0004680;CARPETA FÚTBOL DIAMOND;6.95;7.65;8.34
0004681;CARPETA BALONCESTO DIAMOND;6.95;7.65;8.34
0004685;SET FALTAS PERSONALES BALONCESTO;29.5;32.45;35.4
0004686;CARPETA BALONMANO/FÚTBOL SALA DIAMOND;6.95;7.65;8.34
0004687;CARPETA VOLEIBOL DIAMOND;6.95;7.65;8.34
0004688;CARPETA TÁCTICA FÚTBOL ELITE;7.65;8.42;9.18
0004689;ESTUCHE TÁCTICO DIAMOND FUTBOL;6.95;7.65;8.34
0004690;ESTUCHE TÁCTICO DIAMOND BALONCESTO;6.95;7.65;8.34
0004691;ESTUCHE TÁCTICO DIAMOND VOLEIBOL;6.95;7.65;8.34
0004692;ESTUCHE TÁCTICO DIAMOND BALONMANO/FÚTBOL SALA;6.95;7.65;8.34
0004695;BLOCK FICHAS JUGADORES;3.1;3.41;3.72
0004708;PIZARRA MAGNÉTICA CERCO DE ALUMINIO 60 X 90 CM VOLEIBOL;18;19.8;21.6
