REF;NAME;PVP03;PVP04;PVP02
0012773;JUEGO CANASTAS BALONCESTO GALVANIZADAS ANTIVANDÁLICA NEW 114*;1163;1163;1337.45
0012774;JGO CANASTAS GALVANIZADAS BALONCESTO DELUXE MONOTUBO TRASLADABLES 2 RUEDAS CON CARRO -SIN TABLEROS, AROS Y REDES-;1454;1454;1672.1
0012775;JGO CAJONES CONTRAPESO NEW CANASTAS BALONCESTO (con chapa pregalvanizada);250;250;287.5
0012780;SOPORTE METALICO PARA SUJECCION TABLERO Y ARO MINIBASKET A LA PARED ;94;94;108.1
0012781;SOPORTE METALICO PARA SUJECCION TABLERO Y ARO BALONCESTO A LA PARED ;99;99;113.85
0012892;SET DE BALONCESTO ON;29.95;32.95;34.44
0012893;SISTEMA RETORNO BALÓN BALONCESTO SOFTEE;23.5;25.85;27.03
0012894;FLECHAS INDICADORAS POSESION ;17;17;19.55
0012898;CANASTA NETBALL -UNIDAD-;74.5;74.5;85.68
0012899;CANASTA BALONKORF -UNIDAD-;74.5;74.5;85.68
0012901;TABLERO BALONCESTO AGLOMERADO TAMAÑO REGLAMENTARIO GROSOR 20MM;59.8;59.8;68.77
0012902;TABLERO BALONCESTO AGLOMERADO TAMAÑO 1800  X 1200 X 20MM;68.56;68.56;78.84
0012911;TABLERO BALONCESTO METACRILATO TAMAÑO REGLAMENTARIO GROSOR 10MM;134.82;134.82;155.04
0012912;TABLERO BALONCESTO METACRILATO TAMAÑO REGLAMENTARIO GROSOR 15MM;199.74;199.74;229.7
0012913;TABLERO BALONCESTO METACRILATO TAMAÑO REGLAMENTARIO GROSOR 20MM;275.5;275.5;316.83
0012914;TABLERO BALONCESTO METACRILATO TAMAÑO 1800 X 1200 X 10MM;150.84;150.84;173.47
0012915;TABLERO BALONCESTO METACRILATO TAMAÑO 1800 X 1200 X 15MM;219.41;219.41;252.32
0012916;TABLERO BALONCESTO METACRILATO TAMAÑO 1800 X 1200 X 20MM;308.4;308.4;354.66
0012920;TABLERO BALONCESTO LYNX FOAM ;102;102;117.3
0012921;TABLERO MINIBASKET LYNX FOAM ;68.4;68.4;78.66
0012922;TABLERO BALONCESTO LYNX FOAM (1800 x 1200 ) ;120.54;120.54;138.62
0012928;TABLERO ANTIVANDALICO BALONCESTO CINCADO;162;162;186.3
0012929;TABLERO ANTIVANDALICO BALONCESTO;153;153;175.95
0012930;TABLERO ANTIVANDALICO MINI-BASKET;122;122;140.3
0012931;TABLERO MINIBASKET AGLOMERADO TAMAÑO REGLAMENTARIO GROSOR 20 MM;41;41;47.15
0012941;TABLERO MINIBASKET METACRILATO TAMAÑO REGLAMENTARIO GROSOR 10MM;80.34;80.34;92.39
0012942;TABLERO MINIBASKET METACRILATO TAMAÑO REGLAMENTARIO GROSOR 15MM;119.39;119.39;137.3
0012943;TABLERO MINIBASKET METACRILATO TAMAÑO REGLAMENTARIO GROSOR 20MM;158.98;158.98;182.83
0012949;PLAFÓN BASKET AMERICANO;26.9;29.59;30.94
0012950;PLAFÓN BASKET AMERICANO DELUXE;34;37.4;39.1
0012952;CANASTA BALONCESTO PORTATIL PLEGABLE DELUXE;199.9;219.89;229.89
0012956;SET TABLERO ARO BALONCESTO;99;108.9;113.85
0012957;SET MINITABLERO ARO PARA COLGAR;19.95;21.95;22.94
0012959;PLAFÓN BASKET AMERICANO DELUXE NEW;42.5;46.75;48.88
0012962;ARO TUBO DELUXE ;11.45;11.45;11.5
0012963;PLETINA PARA ARO TUBO DELUXE EXTRAIBLE;13.65;13.65;15.7
0012967;ARO MACIZO GALVANIZADO  ;59;59;67.85
0012968;ARO MACIZO DELUXE ;22.45;22.45;23
0012972;ARO BASCULANTE DELUXE 20MM 3 MUELLES (nuevo sistema de amarre red con varilla);101.97;101.97;117.27
0012975;ARO BASCULANTE DELUXE 20MM 2 MUELLES (nuevo sistema de amarre red con varilla);95.79;95.79;110.16
0012976;ARO BASCULANTE ESCOLAR TOP;54.95;54.95;63.19
0012978;ARO MACIZO ANTIVANDÁLICO;65;65;74.75
0013102;FUNDA IGNIFUGA REFORZADA COLCHONETA 200 X 100 X 5 CM;33;36.3;39.6
0013103;FUNDA IGNIFUGA REFORZADA COLCHONETA NEW 200 X 100 X 5 CM CON CANTONERAS Y ASAS;39.9;43.89;47.88
0013105;FUNDA IGNIFUGA REFORZADA COLCHONETA 200 X 100 X 10 CM;35;38.5;42
0013108;FUNDA IGNIFUGA REFORZADA COLCHONETA NEW 200 X 100 X 10 CM CON CANTONERAS Y ASAS;42;46.2;50.4
0013119;FUNDA IGNIFUGA REFORZADA QUITAMIEDOS 300 X 200 X 20CM;104;114.4;124.8
0013120;FUNDA IGNIFUGA REFORZADA QUITAMIEDOS 300 X 200 X 30CM;110;121;132
0013122;FUNDA IGNIFUGA REFORZADA QUITAMIEDOS 300 X 200 X 50CM;130;143;156
0013123;FUNDA IGNIFUGA REFORZADA QUITAMIEDOS 300 X 200 X 40CM;120;132;144
0013137;COLCHONETA REFORZADA NEW 200 X 100 X 5CM DENSIDAD 20 (FUNDA IGNIFUGA CON CANTONERAS Y ASAS);58.2;64.02;69.84
0013141;COLCHONETA REFORZADA NEW 200 X 100 X 5CM DENSIDAD 25 (FUNDA IGNIFUGA CON CANTONERAS Y ASAS);61.29;67.42;73.55
0013142;COLCHONETA REFORZADA NEW 200 X 100 X 5CM DENSIDAD 100 (FUNDA IGNIFUGA CON CANTONERAS Y ASAS);76.9;84.59;92.28
0013143;COLCHONETA REFORZADA NEW 200 X 100 X 5CM DENSIDAD 150 (FUNDA IGNIFUGA CON CANTONERAS Y ASAS);97.9;107.69;117.48
0013144;COLCHONETA REFORZADA NEW 200 X 100 X 5CM DENSIDAD 200 (FUNDA IGNIFUGA CON CANTONERAS Y ASAS);116.6;128.26;139.92
0013145;COLCHONETA REFORZADA 200 X 100 X 5CM DENSIDAD 20 (FUNDA IGNIFUGA SIN CANTONERAS);50.99;56.09;61.19
0013146;COLCHONETA REFORZADA 200 X 100 X 5CM DENSIDAD 25 (FUNDA IGNIFUGA SIN CANTONERAS);54.08;59.49;64.9
0013147;COLCHONETA REFORZADA 200 X 100 X 5CM DENSIDAD 100 (FUNDA IGNIFUGA SIN CANTONERAS);69.9;76.89;83.88
0013148;COLCHONETA REFORZADA 200 X 100 X 5CM DENSIDAD 150 (FUNDA IGNIFUGA SIN CANTONERAS);90.2;99.22;108.24
0013149;COLCHONETA REFORZADA 200 X 100 X 5CM DENSIDAD 200 (FUNDA IGNIFUGA SIN CANTONERAS);108.9;119.79;130.68
0013153;COLCHONETA REFORZADA NEW 200 X 100 X 5CM DENSIDAD 30 EXTRA DURA (FUNDA IGNIFUGA SIN CANTONERAS Y ASAS);66;72.6;79.2
0013154;COLCHONETA REFORZADA NEW 200 X 100 X 10CM DENSIDAD 30 EXTRA DURA (FUNDA IGNIFUGA SIN CANTONERAS  Y ASAS);97;106.7;116.4
0013155;COLCHONETA REFORZADA NEW 200 X 100 X 5CM DENSIDAD 30 EXTRA DURA (FUNDA IGNIFUGA CON CANTONERAS Y ASAS);73;80.3;87.6
0013157;COLCHONETA REFORZADA NEW 200 X 100 X 10CM DENSIDAD 30 EXTRA DURA (FUNDA IGNIFUGA CON CANTONERAS  Y ASAS);106;116.6;127.2
0013159;COLCHONETA REFORZADA IGNIFUGA TOTAL 200 X 100 X 5CM DENSIDAD 25  CON CANTONERAS  Y ASAS;71;78.1;85.2
0013161;COLCHONETA REFORZADA 200 X 100 X 10CM DENSIDAD 20 (FUNDA IGNIFUGA SIN CANTONERAS);63.35;69.69;76.02
0013162;COLCHONETA REFORZADA 200 X 100 X 10CM DENSIDAD 25 (FUNDA IGNIFUGA SIN CANTONERAS);68.5;75.35;82.2
0013163;COLCHONETA REFORZADA 200 X 100 X 10CM DENSIDAD 100 (FUNDA IGNIFUGA SIN CANTONERAS);116;127.6;139.2
0013164;COLCHONETA REFORZADA 200 X 100 X 10CM DENSIDAD 150 (FUNDA IGNIFUGA SIN CANTONERAS);158.4;174.24;190.08
0013165;COLCHONETA REFORZADA 200 X 100 X 10CM DENSIDAD 200 (FUNDA IGNIFUGA SIN CANTONERAS);177.1;194.81;212.52
0013166;COLCHONETA REFORZADA NEW 200 X 100 X 10CM DENSIDAD 20 (FUNDA IGNIFUGA CON CANTONERAS Y ASAS);75.71;83.28;90.85
0013167;COLCHONETA REFORZADA NEW 200 X 100 X 10CM DENSIDAD 25 (FUNDA IGNIFUGA CON CANTONERAS Y ASAS);80.86;88.95;97.03
0013168;COLCHONETA REFORZADA NEW 200 X 100 X 10CM DENSIDAD 100 (FUNDA IGNIFUGA CON CANTONERAS  Y ASAS);128;140.8;153.6
0013169;COLCHONETA REFORZADA NEW 200 X 100 X 10CM DENSIDAD 150 (FUNDA IGNIFUGA CON CANTONERAS Y ASAS);171.6;188.76;205.92
0013170;COLCHONETA REFORZADA NEW 200 X 100 X 10CM DENSIDAD 200 (FUNDA IGNIFUGA CON CANTONERAS Y ASAS);190.3;209.33;228.36
0013173;QUITAMIEDOS REFORZADO 300 X 200 X 50CM DENSIDAD 20 (FUNDA IGNIFUGA );613.88;675.27;736.66
0013174;COLCHONETA REFORZADA IGNIFUGA TOTAL  200 X 100 X 10CM DENSIDAD 25 CON CANTONERAS  Y ASAS;98;107.8;117.6
0013175;QUITAMIEDOS REFORZADO 300 X 200 X 40CM DENSIDAD 20 (FUNDA IGNIFUGA);510.57;561.63;612.68
0013176;QUITAMIEDOS REFORZADO 300 X 200 X 30CM DENSIDAD 20 (FUNDA IGNIFUGA);417.15;458.87;500.58
0013177;QUITAMIEDOS REFORZADO 300 X 200 X 50CM DENSIDAD 20  CON CAMARA DE  AIRE (FUNDA IGNIFUGA);642.72;706.99;771.26
0013178;QUITAMIEDOS REFORZADO 300 X 200 X 20CM DENSIDAD 20 (FUNDA IGNIFUGA);339.39;373.33;407.27
0013179;QUITAMIEDOS REFORZADO 300 X 200 X 40CM DENSIDAD 20 (FUNDA IGNIFUGA) PLEGABLE;544.87;599.36;653.84
0013180;QUITAMIEDOS REFORZADO 300 X 200 X 40CM DENSIDAD 25 (FUNDA IGNIFUGA) PLEGABLE;630.36;693.4;756.43
0013181;QUITAMIEDOS REFORZADO 300 X 200 X 30CM DENSIDAD 20 (FUNDA IGNIFUGA) PLEGABLE;445.99;490.59;535.19
0013182;QUITAMIEDOS REFORZADO 300 X 200 X 30CM DENSIDAD 25 (FUNDA IGNIFUGA) PLEGABLE;507.79;558.57;609.35
0013183;QUITAMIEDOS REFORZADO 300 X 200 X 50CM DENSIDAD 20 (FUNDA IGNIFUGA) PLEGABLE;637.57;701.33;765.08
0013184;QUITAMIEDOS REFORZADO 300 X 200 X 50CM DENSIDAD 25 (FUNDA IGNIFUGA) PLEGABLE;732.33;805.56;878.8
0013185;QUITAMIEDOS REFORZADO 300 X 200 X 20CM DENSIDAD 25 (FUNDA IGNIFUGA) PLEGABLE;375.95;413.55;451.14
0013186;QUITAMIEDOS REFORZADO 300 X 200 X 20CM DENSIDAD 20 (FUNDA IGNIFUGA) PLEGABLE;330.63;363.69;396.76
0013187;QUITAMIEDOS REFORZADO 300 X 200 X 50CM DENSIDAD 25 (FUNDA IGNIFUGA );647.87;712.66;777.44
0013188;QUITAMIEDOS REFORZADO 300 X 200 X 40CM DENSIDAD 25 (FUNDA IGNIFUGA );539.41;593.35;647.29
0013189;QUITAMIEDOS REFORZADO 300 X 200 X 30CM DENSIDAD 25 (FUNDA IGNIFUGA );439.81;483.79;527.77
0013190;QUITAMIEDOS REFORZADO 300 X 200 X 20CM DENSIDAD 25 (FUNDA IGNIFUGA );358.34;394.17;430.01
0013191;QUITAMIEDOS REFORZADO 300 X 200 X 50CM DENSIDAD 25 CON CAMARA DE AIRE (FUNDA IGNIFUGA);677.74;745.51;813.29
0013210;FUNDA IGNIFUGA REFORZADA QUITAMIEDOS NEW 300 X 200 X 20CM (CON CANTONERAS Y ASAS);110;121;132
0013211;FUNDA IGNIFUGA REFORZADA QUITAMIEDOS NEW 300 X 200 X 30CM (CON CANTONERAS Y ASAS);118;129.8;141.6
0013212;FUNDA IGNIFUGA REFORZADA QUITAMIEDOS NEW 300 X 200 X 40CM (CON CANTONERAS Y ASAS);127;139.7;152.4
0013213;FUNDA IGNIFUGA REFORZADA QUITAMIEDOS NEW 300 X 200 X 50CM (CON CANTONERAS Y ASAS);138;151.8;165.6
0013214;QUITAMIEDOS REFORZADO NEW 300X200X50CM DENSIDAD 20CON CAMARA DE AIRE (FDA.IGNIFUGA CANTONERAS Y ASAS);650.96;716.06;781.15
0013215;QUITAMIEDOS REFORZADO NEW 300X200X50CM DENSIDAD 25CON CAMARA DE AIRE (FDA.IGNIFUGA CANTONERAS Y ASAS);685.98;754.58;823.18
0013216;QUITAMIEDOS REFORZADO NEW 300 X 200 X 50CM DENSIDAD 20 (FUNDA IGNIFUGA CON CANTONERAS Y ASAS);622.12;684.33;746.54
0013217;QUITAMIEDOS REFORZADO NEW 300 X 200 X 50CM DENSIDAD 25 (FUNDA IGNIFUGA CON CANTONERAS Y ASAS);685.98;754.58;823.18
0013218;QUITAMIEDOS REFORZADO NEW 300 X 200 X 40CM DENSIDAD 20 (FUNDA IGNIFUGA CON CANTONERAS Y ASAS);517.78;569.56;621.34
0013219;QUITAMIEDOS REFORZADO NEW 300 X 200 X 40CM DENSIDAD 25 (FUNDA IGNIFUGA CON CANTONERAS Y ASAS);546.62;601.28;655.94
0013220;QUITAMIEDOS REFORZADO NEW 300 X 200 X 30CM DENSIDAD 20 (FUNDA IGNIFUGA CON CANTONERAS Y ASAS);425.39;467.93;510.47
0013221;QUITAMIEDOS REFORZADO NEW 300 X 200 X 30CM DENSIDAD 25 (FUNDA IGNIFUGA CON CANTONERAS Y ASAS);448.05;492.86;537.66
0013222;QUITAMIEDOS REFORZADO NEW 300 X 200 X 20CM DENSIDAD 20 (FUNDA IGNIFUGA CON CANTONERAS Y ASAS);345.57;380.13;414.68
0013223;QUITAMIEDOS REFORZADO NEW 300 X 200 X 20CM DENSIDAD 25 (FUNDA IGNIFUGA CON CANTONERAS Y ASAS);364.52;400.97;437.42
0013224;COLCHONETA PLEGABLE SALTOS PORTERO;225;247.5;270
0013350;ESCUDO PROTECCION RUGBY;43;43;49.45
0013351;SACO DE RUGBY DE 140 X 145 CM;84;84;96.6
0013370;PROTECCION COLUMNA CUADRADA O RECTANGULAR ESTANTO 2 MT ALTURA GROSOR 5 CM ;  BAJO PRESUPUESTO  ;  BAJO PRESUPUESTO  ;  BAJO PRESUPUESTO  
0013382;PROTECCION COLUMNA REDONDA DELUXE 1 MT ALTURA GROSOR 5 CM -METRO LINEAL-;80.56;80.56;92.64
0013383;PROTECCION COLUMNA REDONDA DELUXE 1,5 MT ALTURA GROSOR 5 CM -METRO LINEAL-;105.02;105.02;120.77
0013384;PROTECCION COLUMNA REDONDA DELUXE 2 MT ALTURA GROSOR 5 CM -METRO LINEAL-;132.63;132.63;152.52
0013385;PROTECCION COLUMNA CUADRADA O RECTANGULAR DELUXE 1 MT ALTURA GROSOR 5 CM -METRO LINEAL-;68.27;68.27;78.51
0013386;PROTECCION COLUMNA CUADRADA O RECTANGULAR DELUXE 1,5 MT ALTURA GROSOR 5 CM -METRO LINEAL-;83.53;83.53;96.06
0013387;PROTECCION COLUMNA CUADRADA O RECTANGULAR DELUXE 2 MT ALTURA GROSOR 5 CM -METRO LINEAL-;102.15;102.15;117.47
0013394;PROTECCION COLUMNA REDONDA DELUXE 1 MT ALTURA GROSOR 7 CM -METRO LINEAL-;86.12;86.12;99.04
0013395;PROTECCION COLUMNA REDONDA DELUXE 1,5 MT ALTURA GROSOR 7 CM -METRO LINEAL-;112.72;112.72;129.63
0013396;PROTECCION COLUMNA REDONDA DELUXE 2 MT ALTURA GROSOR 7CM -METRO LINEAL-;141.78;141.78;163.05
0013397;PROTECCION COLUMNA CUADRADA O RECTANGULAR DELUXE 1 MT ALTURA GROSOR 7 CM -METRO LINEAL-;72.97;72.97;83.92
0013398;PROTECCION COLUMNA CUADRADA O RECTANGULAR DELUXE 1,5 MT ALTURA GROSOR 7 CM -METRO LINEAL-;89.3;89.3;102.7
0013399;PROTECCION COLUMNA CUADRADA O RECTANGULAR DELUXE 2 MT ALTURA GROSOR 7 CM -METRO LINEAL-;109.2;109.2;125.58
0013410;JUEGO REDES FÚTBOL 11 3MM COLEGIAL;31.59;34.75;37.91
0013411;JUEGO REDES FÚTBOL 11 3MM LINEA PREMIUM;45.9;50.49;55.08
0013412;JUEGO REDES FÚTBOL 11 4MM LINEA PREMIUM;68.4;75.24;82.08
0013415;JUEGO REDES FÚTBOL 11 3 MM LINEA PREMIUM TIPO CAJÓN;47.25;51.98;56.7
0013416;JUEGO REDES FÚTBOL 11 4 MM LINEA PREMIUM TIPO CAJÓN;81.6;89.76;97.92
0013437;JUEGO REDES FÚTBOL 7 3 MM LINEA PREMIUM TIPO CAJÓN;39.78;43.76;47.74
0013438;JUEGO REDES FÚTBOL 7 4 MM LINEA PREMIUM TIPO CAJÓN;57.8;63.58;69.36
0013440;JUEGO REDES FÚTBOL 7 3MM COLEGIAL;21.76;23.94;26.11
0013441;JUEGO REDES FÚTBOL 7 3MM LINEA PREMIUM;32.8;36.08;39.36
0013442;JUEGO REDES FÚTBOL 7 4MM LINEA PREMIUM;46.75;51.43;56.1
0013460;JUEGO REDES FÚTBOL SALA/BALONMANO 3MM COLEGIAL;17.05;18.76;20.46
0013461;JUEGO REDES FÚTBOL SALA/BALONMANO 3MM LINEA PREMIUM;22.1;24.31;26.52
0013462;JUEGO REDES FÚTBOL SALA/BALONMANO 4MM LINEA PREMIUM;32.4;35.64;38.88
0013465;JUEGO CORTINAS AMORTIGUADORAS FUTBOL SALA/BALONMANO 3MM LINEA PREMIUM BLANCO;12.6;13.86;15.12
0013466;JUEGO CORTINAS AMORTIGUADORAS FUTBOL SALA/BALONMANO 4MM LINEA PREMIUM BLANCO;17.1;18.81;20.52
0013483;RED VOLEIBOL 4MM LINEA PREMIUM;19.85;21.84;23.82
0013490;RED VOLEY-PLAYA;7.6;8.36;9.12
0013491;RED VOLEY PLAYA 3 MM LINEA PREMIUM CON CINTA AMARILLA;17.2;18.92;20.64
0013501;RED BADMINTON SENCILLA;5.95;6.55;7.14
0013502;RED BADMINTON DE LUXE;14.54;15.99;17.45
0013526;RED TENIS 10 MALLA DOBLE;39;42.9;46.8
0013527;RED TENIS  MALLA DOBLE COMPLETA;45.5;50.05;54.6
0013532;RED TENIS 4MM LINEA PREMIUM;36;39.6;43.2
0013551;RED PADEL 10 MALLA DOBLE;33;36.3;39.6
0013552;RED PADEL 3 MM LINEA PREMIUM;28.8;31.68;34.56
0013553;RED PADEL MALLA DOBLE COMPLETA;42;46.2;50.4
0013554;RED PADEL COLEGIAL;26;28.6;31.2
0013556;RED PADEL 4 MM LINEA PREMIUM COMPETICION;43;47.3;51.6
0013579;JUEGO REDES BALONCESTO NET;9.95;10.95;11.94
0013580;JUEGO REDES BALONCESTO ROUND;2.95;3.25;3.54
0013581;JUEGO REDES BALONCESTO 3,5MM;1.55;1.71;1.86
0013585;JUEGO REDES DE BALONCESTO ANTIVANDALICAS;17;18.7;20.4
0013588;JUEGO REDES BALONCESTO 3,5MM USO EXCLUSIVO INTERIOR BASIC;0.85;0.94;1.02
0013589;JUEGO REDES BALONCESTO NEW NET;3.95;4.35;4.74
0013591;RED MULTIUSOS 15M;29.31;32.24;35.17
0013592;RED MULTIUSOS 20M;38.15;41.97;45.78
0013593;RED MULTIUSOS 25M;47.57;52.33;57.08
0013911;PALA PADEL SOFTEE WINNER POWER;95;95;95
0013929;PALA PADEL SOFTEE POTENZA MAN JUNIOR;29.9;29.9;29.9
0013965;PALA PADEL SOFTEE POTENZA BOOT CAMP;95;95;95
0013975;BOTE 3 PELOTAS PADEL SIUX MATCH;2.06;2.06;2.06
0013976;BOTE 3 PELOTAS PADEL SIUX MATCH PRO;2.43;2.43;2.43
0013977;CAJON 24 BOTES 3 PELOTAS PADEL SIUX MATCH;45;45;45
0013978;CAJON 24 BOTES 3 PELOTAS PADEL SIUX MATCH PRO;53.7;53.7;53.7
0013986;PALA PADEL SOFTEE WINNER ICOPRO EDITION 2.0;99;99;99
0013987;PALA HBL SIDERAL;24.95;24.95;24.95
0013988;PALA HBL SIDERAL MASTER;21.95;21.95;21.95
0013989;PALA HBL SIDERAL JUNIOR;18.95;18.95;18.95
0013990;PALA PADEL SOFTEE POTENZA BLACK EDITION;125;125;125
0013991;PALA PÁDEL SOFTEE K3 TOUR CARBON PRO;110;110;110
0013992;PALA PADEL SOFTEE DAISABE PRO EDITION;105;105;105
0014018;PALETERO SOFTEE PADEL YELLOW PRO;19.9;19.9;19.9
0014019;PALETERO SOFTEE PADEL PREMIUM;24.9;24.9;24.9
0014020;PROTECTOR SOFTEE PADEL NEGRO;2.65;2.65;2.65
0014021;PROTECTOR SOFTEE PADEL BLANCO;1.8;1.8;1.8
0014022;PROTECTOR SOFTEE PADEL ROJO;2.65;2.65;2.65
0016935;PALA PADEL SOFTEE POTENZA 3D BLUE;110;110;110
0016936;PALA PADEL SOFTEE CARBURO 5;139;139;139
0016937;PALA PADEL SOFTEE K3 TOUR 6.0;75;75;75
0016938;PALA PADEL SOFTEE RAZE 4.0;29.9;29.9;29.9
0016939;PALA PADEL SOFTEE PRO MASTER;49;49;49
0018003;CINTURÓN RUNAWAY JIM SIMPLE -SURTIDO ;2.49;2.74;2.99
0018031;MANCUERNAS AQUAERÓBIC FORMA CIRCULAR;6.2;6.82;7.44
0018062;MUÑEQUERAS AQUAEROBIC NEMO-PAR-;3.5;3.85;4.2
0018071;TOBILLERAS AQUAERÓBIC;9.9;10.89;11.88
0018072;TOBILLERA AQUAEROBIC NEMO -PAR-;4.75;5.23;5.7
0018106;BANDA DE LÁTEX DENSIDAD MEDIA 25MT;21.43;23.57;25.72
0018116;BANDA DE LÁTEX DENSIDAD FUERTE 25MT;25.9;28.49;31.08
0018120;BANDA DE LÁTEX DENSIDAD EXTRAFUERTE 20MT;31.2;34.32;37.44
0018130;BANDA LATEX CERO DENSIDAD MEDIA;0.99;1.09;1.19
0018131;BANDA LATEX CERO DENSIDAD FUERTE;1.09;1.2;1.31
0018132;BANDA LATEX CERO DENSIDAD EXTRAFUERTE;1.19;1.31;1.43
0018135;BANDA DE LÁTEX DENSIDAD MEDIA EN TUBO 1,5 MTS;1.76;1.94;2.11
0018136;BANDA DE LÁTEX SOFTEE DENSIDAD FUERTE EN TUBO 1,5 MTS;2.47;2.72;2.96
0018137;BANDA DE LÁTEX SOFTEE DENSIDAD EXTRAFUERTE EN TUBO 1,5 MTS;2.56;2.82;3.07
0018138;EXPOSITOR PARA BANDAS DE LÁTEX DE 1,5 MTS EN TUBO;7;7.7;8.4
0018139;JUEGO ASAS FLEX PARA TUBO EXPANSOR;2.26;2.49;2.71
0018140;ELASTIJIM BAND ROSA/GRIS;2.99;3.29;3.59
0018141;ELASTIJIM BAND VERDE/GRIS;2.99;3.29;3.59
0018145;EXPANSOR ASAS FLEX NEW DENSIDAD LIGERA AZUL;4.03;4.43;4.84
0018146;EXPANSOR ASAS FLEX NEW DENSIDAD MEDIA ROJO;4.23;4.65;5.08
0018147;EXPANSOR ASAS FLEX NEW DENSIDAD ALTA VERDE;5.66;6.23;6.79
0018951;OCTÓGONO PLASTAZOTE ROJO;4.9;5.39;5.88
0019031;BASKET FLOTANTE PVC;14.9;16.39;17.88
0019036;BASKET FLOTANTE ACERO INOXIDABLE (adjunto instr. de mantenimiento);46.57;51.23;55.88
0019041;PORTERIA WATERPOLO PVC;16.95;18.65;20.34
0019051;VOLEIBOL FLOTANTE PVC;17.65;19.42;21.18
0019056;VOLEIBOL FLOTANTE ALUMINIO;58.5;64.35;70.2
0019101;JUEGO 6 DISCOS CON AGUJEROS;2.53;2.78;3.04
0019105;SET 5 HUEVOS NATACION;2.75;3.03;3.3
0019106;FLOR BUCEO;3.5;3.85;4.2
0019107;SET 6 PECES BUCEO;2.99;3.29;3.59
0019122;JUEGO 4 ANILLAS BUCEO;2.25;2.48;2.7
0019123;SET ACUÁTICO 3 ALGAS MARINAS SOFTEE;0.95;1.05;1.14
0019124;SET ACUÁTICO 3 PECES SOFTEE;1.3;1.43;1.56
0019125;SET ACUÁTICO 3 MEDUSAS SOFTEE;1.3;1.43;1.56
0019126;SET ACUÁTICO 4 TORPEDOS SOFTEE;1.99;2.19;2.39
0019127;SET ACUÁTICO 6 FIGURAS GEOMÉTRICAS;0.95;1.05;1.14
0019130;PARACAÍDAS NATACIÓN SOFTEE;19.95;21.95;23.94
0019131;TIRANTE DE NATACION SOFTEE;29.9;32.89;35.88
0019132;JUEGO DE 3 AROS SLALOM GRANDES;22.8;25.08;27.36
0019510;RECAMBIO CINTA + CIERRE CINTURÓN APRENDIZAJE;1.2;1.32;1.44
0019709;DELFÍN DE GOMA;1.25;1.38;1.44
0019710;POLLO DE GOMA;0.95;1.05;1.09
0019714;PATITO DE GOMA;1.26;1.39;1.51
0019715;PINGÜINO DE GOMA PEQUEÑO;1.4;1.54;1.61
0019716;PINGÜINO DE GOMA GRANDE;1.98;2.18;2.28
0019717;ALGA DIDÁCTICA NATACIÓN;1.8;1.98;2.16
0019719;FAMILIA DE PATOS DE GOMA;0.8;0.88;0.92
0019951;CINTA PORTA 10 FRITAS;2.1;2.31;2.52
0019952;CINTA PORTA 20 FRITAS;2.95;3.25;3.54
0019961;CONECTOR FRITAS SENCILLO;0.42;0.46;0.5
0019962;CONECTOR FRITAS DOBLE;1.34;1.47;1.61
0019963;CONECTOR FRITAS LAZO;0.4;0.44;0.48
0019964;CONECTOR BALSA PARA FRITAS;1.69;1.86;2.03
0019965;CONECTOR FRITAS MEDIO;1.05;1.16;1.26
0019966;CONECTOR FRITAS TRIPLE;2.6;2.86;3.12
0019967;CONECTOR FRITAS CUÁDRUPLE;3.5;3.85;4.2
0020634;SERPIENTE MULTICOLOR PLASTAZOTE 1MT;16;17.6;19.2
0020635;SET 10 MINI CÍRCULOS DE EQUILIBRIO 0-5 AÑOS;6.5;7.15;7.8
0020636;SET 10 MINI CUADRADOS DE EQUILIBRIO 0-5 AÑOS;6.5;7.15;7.8
0020637;SET 10 MINI RECTÁNGULOS DE EQUILIBRIO 0-5 AÑOS;6.5;7.15;7.8
0020638;SET 10 MINI TRIÁNGULOS DE EQUILIBRIO 0-5 AÑOS;6.5;7.15;7.8
0020639;SET 4 MINI FIGURAS GEOMÉTRICAS PLASTAZOTE;2.6;2.86;3.12
0020642;SET CONSTRUCCIÓN 18 FIGURAS GEOMÉTRICAS PLASTAZOTE;11.7;12.87;14.04
0020760;TAPIZ BEBÉ CON CESTA;70;77;84
0020770;PUENTE SOBRE EL RIO KWAI;299.95;329.95;359.94
0020820;GORRO NATACIÓN SILICONA MULTICOLOR SURTIDO;0.85;0.94;1.02
0021032;JUEGO 4 UNIDADES TAPONES OÍDO SILICONA;0.52;0.57;0.62
0021041;PINZA NARIZ SYNCRO;0.54;0.59;0.65
0021043;PINZA NARIZ CINTA LÁTEX;0.68;0.75;0.82
0021044;CAJA PARA PINZA DE NARIZ;0.2;0.22;0.24
0021100;MONITOR DE ALUMINIO 3 METROS;57;62.7;68.4
0021101;MONITOR DE ALUMINIO 2 METROS;39.9;43.89;47.88
0021103;MONITOR PVC 2 METROS;34;37.4;40.8
0021104;MONITOR PVC 3 METROS;44;48.4;52.8
0021266;PINZA NARIZ BLISTER NIKE;1;1.1;1.2
0021267;PINZA NARIZ SIN BLISTER NIKE;0.39;0.43;0.47
0021299;MEGÁFONO SOFTEE 401;48.5;53.35;58.2
0021615;GAFA NATACIÓN INFANTIL FISH;0.59;0.65;0.71
